Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
1295000.0,8340,HOUSE,EXCEPTIONAL_PROPERTY,GOOD,4.0,300.0,True,,,1.0,,,,,250.0,3.0,0.0,0.0,0.0
260000.0,1080,APARTMENT,APARTMENT,GOOD,2.0,105.0,False,,,1.0,9.0,,,,,2.0,0.0,1.0,1.0
495000.0,9070,HOUSE,HOUSE,AS_NEW,3.0,170.0,False,,,1.0,1.0,1.0,1.0,1.0,578.0,3.0,0.0,0.0,0.0
390000.0,1360,HOUSE,HOUSE,,3.0,175.0,False,,,,,,,,244.0,,,,
245000.0,1620,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,76.0,False,0.0,,1.0,3.0,,,,,3.0,0.0,0.0,0.0
84000.0,4141,HOUSE,CHALET,GOOD,2.0,38.0,False,0.0,,,,,,,194.0,4.0,0.0,,
189000.0,2060,APARTMENT,APARTMENT,GOOD,1.0,51.0,False,,,,,,,,,2.0,,,1.0
490000.0,8400,HOUSE,HOUSE,,0.0,86.0,False,,,,,,,,216.0,,,,
204000.0,7333,APARTMENT,APARTMENT,,2.0,81.0,False,,,1.0,7.0,1.0,52.0,52.0,,,,,
750000.0,9570,HOUSE,MIXED_USE_BUILDING,GOOD,7.0,737.0,False,,,,,,,,5700.0,,,,
435000.0,2382,HOUSE,HOUSE,GOOD,3.0,,False,,,1.0,,,,,1560.0,4.0,,,
1900000.0,1380,HOUSE,VILLA,TO_RENOVATE,6.0,600.0,False,0.0,,1.0,170.0,1.0,7600.0,7600.0,8000.0,4.0,1.0,0.0,0.0
359000.0,3512,HOUSE,HOUSE,TO_RENOVATE,3.0,191.0,False,,,,,,,,955.0,4.0,,0.0,0.0
536500.0,1200,APARTMENT,APARTMENT,AS_NEW,2.0,152.0,True,0.0,,1.0,13.0,,,,,2.0,0.0,1.0,1.0
285000.0,9400,HOUSE,HOUSE,JUST_RENOVATED,3.0,125.0,False,0.0,,1.0,15.0,1.0,50.0,50.0,150.0,2.0,,,
134000.0,4020,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,116.0,False,0.0,,,,1.0,120.0,120.0,739.0,2.0,0.0,0.0,0.0
289000.0,7730,HOUSE,HOUSE,GOOD,4.0,140.0,False,0.0,,1.0,35.0,1.0,50.0,50.0,360.0,4.0,0.0,0.0,0.0
425000.0,8480,HOUSE,BUNGALOW,AS_NEW,3.0,150.0,False,,,1.0,,,,,900.0,4.0,,0.0,0.0
265000.0,6941,HOUSE,HOUSE,JUST_RENOVATED,3.0,163.0,False,,,1.0,20.0,,,,5274.0,3.0,,,
249000.0,2260,HOUSE,HOUSE,TO_RENOVATE,4.0,141.0,False,,,1.0,,,,,320.0,3.0,,,
,8300,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
199000.0,9860,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,204.0,False,,,1.0,,,,,553.0,3.0,,,
379000.0,2900,HOUSE,HOUSE,AS_NEW,2.0,106.0,False,0.0,,1.0,,,,,211.0,2.0,,0.0,0.0
